original_text,cleaned_text,case_folding,tokenized_text,normalized_text,stopword_removed,token_to_text,no_topic,label_aspek,sentimen,,,,Jumlah,Positif,Negatif,
"Mungkin bisa lebih efisien dalam waktu khususnya pesan2 sponsor agar tidak terlalu menyita waktu bisa dipecah2 saat tengah2 sesi		",Mungkin bisa lebih efisien dalam waktu khususnya pesan sponsor agar tidak terlalu menyita waktu bisa dipecah saat tengah sesi,mungkin bisa lebih efisien dalam waktu khususnya pesan sponsor agar tidak terlalu menyita waktu bisa dipecah saat tengah sesi,"['mungkin', 'bisa', 'lebih', 'efisien', 'dalam', 'waktu', 'khususnya', 'pesan', 'sponsor', 'agar', 'tidak', 'terlalu', 'menyita', 'waktu', 'bisa', 'dipecah', 'saat', 'tengah', 'sesi']","['mungkin', 'bisa', 'lebih', 'efisien', 'dalam', 'waktu', 'khusus', 'pesan', 'sponsor', 'agar', 'tidak', 'terlalu', 'menyita', 'waktu', 'bisa', 'pecah', 'saat', 'tengah', 'sesi']","['mungkin', 'efisien', 'waktu', 'khusus', 'pesan', 'sponsor', 'terlalu', 'menyita', 'waktu', 'pecah', 'tengah', 'sesi']",mungkin efisien waktu khusus pesan sponsor terlalu menyita waktu pecah tengah sesi,6,Waktu dan Pelaksanaan Acara,Negatif,,,,,,,
"Mungkin bisa lebih interaktif, tetapi acara sudah terlaksana dengan baik		",Mungkin bisa lebih interaktif tetapi acara sudah terlaksana dengan baik,mungkin bisa lebih interaktif tetapi acara sudah terlaksana dengan baik,"['mungkin', 'bisa', 'lebih', 'interaktif', 'tetapi', 'acara', 'sudah', 'terlaksana', 'dengan', 'baik']","['mungkin', 'bisa', 'lebih', 'interaksi', 'tetapi', 'acara', 'sudah', 'terlaksana', 'dengan', 'baik']","['mungkin', 'interaksi', 'acara', 'terlaksana', 'baik']",mungkin interaksi acara terlaksana baik,1,Kesuksesan Acara,Positif,,,,,,,
"Mungkin bisa lebih ontime, agar waktu acara tidak molor		",Mungkin bisa lebih ontime agar waktu acara tidak molor,mungkin bisa lebih ontime agar waktu acara tidak molor,"['mungkin', 'bisa', 'lebih', 'ontime', 'agar', 'waktu', 'acara', 'tidak', 'molor']","['mungkin', 'bisa', 'lebih', 'tepat waktu', 'agar', 'waktu', 'acara', 'tidak', 'terlambat']","['mungkin', 'tepat waktu', 'waktu', 'acara', 'terlambat']",mungkin tepat waktu waktu acara terlambat,6,Waktu dan Pelaksanaan Acara,Positif,,,,,,,
"Mungkin karena jadwal nya siang sehingga membuat para peserta menjadi kurang bersemangat		",Mungkin karena jadwal nya siang sehingga membuat para peserta menjadi kurang bersemangat,mungkin karena jadwal nya siang sehingga membuat para peserta menjadi kurang bersemangat,"['mungkin', 'karena', 'jadwal', 'nya', 'siang', 'sehingga', 'membuat', 'para', 'peserta', 'menjadi', 'kurang', 'bersemangat']","['mungkin', 'karena', 'jadwal', 'nya', 'waktu', 'sehingga', 'membuat', 'para', 'peserta', 'menjadi', 'kurang', 'semangat']","['mungkin', 'jadwal', 'waktu', 'membuat', 'peserta', 'menjadi', 'semangat']",mungkin jadwal waktu membuat peserta menjadi semangat,6,Waktu dan Pelaksanaan Acara,Negatif,,,,,,,
"Mungkin lebih perbanyak koordinasi ke semua pihak untuk kedepannya.		",Mungkin lebih perbanyak koordinasi ke semua pihak untuk kedepannya,mungkin lebih perbanyak koordinasi ke semua pihak untuk kedepannya,"['mungkin', 'lebih', 'perbanyak', 'koordinasi', 'ke', 'semua', 'pihak', 'untuk', 'kedepannya']","['mungkin', 'lebih', 'banyak', 'koordinasi', 'ke', 'semua', 'pihak', 'untuk', 'ke depannya']","['mungkin', 'banyak', 'koordinasi', 'pihak', 'ke depannya']",mungkin banyak koordinasi pihak ke depannya,3,Harapan Acara,Negatif,,,,,,,
"Mungkin pemaparan dari pemateri durasinya bisa lebih panjang hehe		",Mungkin pemaparan dari pemateri durasinya bisa lebih panjang hehe,mungkin pemaparan dari pemateri durasinya bisa lebih panjang hehe,"['mungkin', 'pemaparan', 'dari', 'pemateri', 'durasinya', 'bisa', 'lebih', 'panjang', 'hehe']","['mungkin', 'pemaparan', 'dari', 'narasumber', 'durasi', 'bisa', 'lebih', 'panjang', 'hehe']","['mungkin', 'pemaparan', 'narasumber', 'durasi', 'panjang']",mungkin pemaparan narasumber durasi panjang,6,Waktu dan Pelaksanaan Acara,Negatif,,,,,,,
"Mungkin untuk kedepannya bisa diperbaiki lagi time management nya supaya tidak telat lagi		",Mungkin untuk kedepannya bisa diperbaiki lagi time management nya supaya tidak telat lagi,mungkin untuk kedepannya bisa diperbaiki lagi time management nya supaya tidak telat lagi,"['mungkin', 'untuk', 'kedepannya', 'bisa', 'diperbaiki', 'lagi', 'time', 'management', 'nya', 'supaya', 'tidak', 'telat', 'lagi']","['mungkin', 'untuk', 'ke depannya', 'bisa', 'perbaiki', 'lagi', 'waktu', 'manajemen', 'nya', 'supaya', 'tidak', 'terlambat', 'lagi']","['mungkin', 'ke depannya', 'perbaiki', 'waktu', 'manajemen', 'terlambat']",mungkin ke depannya perbaiki waktu manajemen terlambat,6,Waktu dan Pelaksanaan Acara,Negatif,,,,,,,
"Mungkin untuk selanjutnya format namanya di samaan agar tau darimana asal masing masing peserta kegiatan		",Mungkin untuk selanjutnya format namanya di samaan agar tau darimana asal masing masing peserta kegiatan,mungkin untuk selanjutnya format namanya di samaan agar tau darimana asal masing masing peserta kegiatan,"['mungkin', 'untuk', 'selanjutnya', 'format', 'namanya', 'di', 'samaan', 'agar', 'tau', 'darimana', 'asal', 'masing', 'masing', 'peserta', 'kegiatan']","['mungkin', 'untuk', 'lanjut', 'format', 'nama', 'di', 'sama', 'agar', 'tahu', 'dari mana', 'asal', 'masing', 'masing', 'peserta', 'acara']","['mungkin', 'lanjut', 'format', 'nama', 'sama', 'tahu', 'dari mana', 'asal', 'masing', 'masing', 'peserta', 'acara']",mungkin lanjut format nama sama tahu dari mana asal masing masing peserta acara,3,Harapan Acara,Negatif,,,,,,,
"Mungkin waktu pelaksanaannya sore		",Mungkin waktu pelaksanaannya sore,mungkin waktu pelaksanaannya sore,"['mungkin', 'waktu', 'pelaksanaannya', 'sore']","['mungkin', 'waktu', 'pelaksanaan', 'waktu']","['mungkin', 'waktu', 'pelaksanaan', 'waktu']",mungkin waktu pelaksanaan waktu,6,Waktu dan Pelaksanaan Acara,Negatif,,,,,,,
"Naarasumbernya keren-keren		",Naarasumbernya kerenkeren,naarasumbernya kerenkeren,"['naarasumbernya', 'kerenkeren']","['narasumber', 'keren']","['narasumber', 'keren']",narasumber keren,2,Materi dan Narasumber,Positif,,,,,,,
"Narasumber mungkin untuk acara berikutnya bisa lebih dalam lagi mengenai materi tentang anak muda jaman sekarang		",Narasumber mungkin untuk acara berikutnya bisa lebih dalam lagi mengenai materi tentang anak muda jaman sekarang,narasumber mungkin untuk acara berikutnya bisa lebih dalam lagi mengenai materi tentang anak muda jaman sekarang,"['narasumber', 'mungkin', 'untuk', 'acara', 'berikutnya', 'bisa', 'lebih', 'dalam', 'lagi', 'mengenai', 'materi', 'tentang', 'anak', 'muda', 'jaman', 'sekarang']","['narasumber', 'mungkin', 'untuk', 'acara', 'lanjut', 'bisa', 'lebih', 'dalam', 'lagi', 'mengenai', 'materi', 'tentang', 'anak', 'muda', 'zaman', 'sekarang']","['narasumber', 'mungkin', 'acara', 'lanjut', 'mengenai', 'materi', 'anak', 'muda', 'zaman', 'sekarang']",narasumber mungkin acara lanjut mengenai materi anak muda zaman sekarang,2,Materi dan Narasumber,Negatif,,,,,,,
"Narasumbernya tidak tepat waktu sehingga memperlama acara, semoga di acara selanjutnya tidak terjadi hal serupa		",Narasumbernya tidak tepat waktu sehingga memperlama acara semoga di acara selanjutnya tidak terjadi hal serupa,narasumbernya tidak tepat waktu sehingga memperlama acara semoga di acara selanjutnya tidak terjadi hal serupa,"['narasumbernya', 'tidak', 'tepat', 'waktu', 'sehingga', 'memperlama', 'acara', 'semoga', 'di', 'acara', 'selanjutnya', 'tidak', 'terjadi', 'hal', 'serupa']","['narasumber', 'tidak', 'tepat', 'waktu', 'sehingga', 'lama', 'acara', 'semoga', 'di', 'acara', 'lanjut', 'tidak', 'berlangsung', 'hal', 'serupa']","['narasumber', 'tepat', 'waktu', 'lama', 'acara', 'semoga', 'acara', 'lanjut', 'berlangsung', 'serupa']",narasumber tepat waktu lama acara semoga acara lanjut berlangsung serupa,6,Waktu dan Pelaksanaan Acara,Negatif,,,,,,,
"narsum lebih tepat waktu		",narsum lebih tepat waktu,narsum lebih tepat waktu,"['narsum', 'lebih', 'tepat', 'waktu']","['narasumber', 'lebih', 'tepat', 'waktu']","['narasumber', 'tepat', 'waktu']",narasumber tepat waktu,6,Waktu dan Pelaksanaan Acara,Negatif,,,,,,,
"Panitia sudah tepat waktu dan gercep		",Panitia sudah tepat waktu dan gercep,panitia sudah tepat waktu dan gercep,"['panitia', 'sudah', 'tepat', 'waktu', 'dan', 'gercep']","['penyelenggara', 'sudah', 'tepat', 'waktu', 'dan', 'cepat']","['penyelenggara', 'tepat', 'waktu', 'cepat']",penyelenggara tepat waktu cepat,6,Waktu dan Pelaksanaan Acara,Positif,,,,,,,
"Pelaksanaan sudah terlaksana dengan baik		",Pelaksanaan sudah terlaksana dengan baik,pelaksanaan sudah terlaksana dengan baik,"['pelaksanaan', 'sudah', 'terlaksana', 'dengan', 'baik']","['pelaksanaan', 'sudah', 'terlaksana', 'dengan', 'baik']","['pelaksanaan', 'terlaksana', 'baik']",pelaksanaan terlaksana baik,1,Kesuksesan Acara,Positif,,,,,,,
"Pemaparan dari pihak acara & narasumber terkadang terputus-putus, semoga lebih diperhatikan untuk permasalahan ini, khususnya dari pihak acara.		",Pemaparan dari pihak acara narasumber terkadang terputusputus semoga lebih diperhatikan untuk permasalahan ini khususnya dari pihak acara,pemaparan dari pihak acara narasumber terkadang terputusputus semoga lebih diperhatikan untuk permasalahan ini khususnya dari pihak acara,"['pemaparan', 'dari', 'pihak', 'acara', 'narasumber', 'terkadang', 'terputusputus', 'semoga', 'lebih', 'diperhatikan', 'untuk', 'permasalahan', 'ini', 'khususnya', 'dari', 'pihak', 'acara']","['pemaparan', 'dari', 'pihak', 'acara', 'narasumber', 'terkadang', 'gangguan', 'semoga', 'lebih', 'perhatikan', 'untuk', 'kendala', 'ini', 'khusus', 'dari', 'pihak', 'acara']","['pemaparan', 'pihak', 'acara', 'narasumber', 'terkadang', 'gangguan', 'semoga', 'perhatikan', 'kendala', 'khusus', 'pihak', 'acara']",pemaparan pihak acara narasumber terkadang gangguan semoga perhatikan kendala khusus pihak acara,5,Teknis dan Jaringan,Negatif,,,,,,,
"Pemateri dan mc nya tidak membosankan		",Pemateri dan mc nya tidak membosankan,pemateri dan mc nya tidak membosankan,"['pemateri', 'dan', 'mc', 'nya', 'tidak', 'membosankan']","['narasumber', 'dan', 'mc', 'nya', 'tidak', 'bosan']","['narasumber', 'mc', 'bosan']",narasumber mc bosan,2,Materi dan Narasumber,Positif,,,,,,,
"Pematerinya tidak tepat waktu sehingga acara jadi lebih lama, semoga talkshow selanjutnya tidak terjadi hal serupa		",Pematerinya tidak tepat waktu sehingga acara jadi lebih lama semoga talkshow selanjutnya tidak terjadi hal serupa,pematerinya tidak tepat waktu sehingga acara jadi lebih lama semoga talkshow selanjutnya tidak terjadi hal serupa,"['pematerinya', 'tidak', 'tepat', 'waktu', 'sehingga', 'acara', 'jadi', 'lebih', 'lama', 'semoga', 'talkshow', 'selanjutnya', 'tidak', 'terjadi', 'hal', 'serupa']","['narasumber', 'tidak', 'tepat', 'waktu', 'sehingga', 'acara', 'jadi', 'lebih', 'lama', 'semoga', 'seminar', 'lanjut', 'tidak', 'berlangsung', 'hal', 'serupa']","['narasumber', 'tepat', 'waktu', 'acara', 'lama', 'semoga', 'seminar', 'lanjut', 'berlangsung', 'serupa']",narasumber tepat waktu acara lama semoga seminar lanjut berlangsung serupa,6,Waktu dan Pelaksanaan Acara,Negatif,,,,,,,
"pemberian materi lancar dan koneksi bagus		",pemberian materi lancar dan koneksi bagus,pemberian materi lancar dan koneksi bagus,"['pemberian', 'materi', 'lancar', 'dan', 'koneksi', 'bagus']","['pemberian', 'materi', 'sukses', 'dan', 'koneksi', 'keren']","['pemberian', 'materi', 'sukses', 'koneksi', 'keren']",pemberian materi sukses koneksi keren,1,Kesuksesan Acara,Positif,,,,,,,
"Pembicaraannya sangat bagus		",Pembicaraannya sangat bagus,pembicaraannya sangat bagus,"['pembicaraannya', 'sangat', 'bagus']","['narasumber', 'sangat', 'keren']","['narasumber', 'keren']",narasumber keren,2,Materi dan Narasumber,Positif,,,,,,,
"Pengisian waktu kosong, dan waktu acara		",Pengisian waktu kosong dan waktu acara,pengisian waktu kosong dan waktu acara,"['pengisian', 'waktu', 'kosong', 'dan', 'waktu', 'acara']","['pengisian', 'waktu', 'kosong', 'dan', 'waktu', 'acara']","['pengisian', 'waktu', 'kosong', 'waktu', 'acara']",pengisian waktu kosong waktu acara,6,Waktu dan Pelaksanaan Acara,Positif,,,,,,,
"Penyampaian dan isi materinya sangat bagus dan untuk memotivasi generasi internet pemuda.		",Penyampaian dan isi materinya sangat bagus dan untuk memotivasi generasi internet pemuda,penyampaian dan isi materinya sangat bagus dan untuk memotivasi generasi internet pemuda,"['penyampaian', 'dan', 'isi', 'materinya', 'sangat', 'bagus', 'dan', 'untuk', 'memotivasi', 'generasi', 'internet', 'pemuda']","['penyampaian', 'dan', 'isi', 'materi', 'sangat', 'keren', 'dan', 'untuk', 'inspiratif', 'generasi', 'internet', 'pemuda']","['penyampaian', 'isi', 'materi', 'keren', 'inspiratif', 'generasi', 'internet', 'pemuda']",penyampaian isi materi keren inspiratif generasi internet pemuda,2,Materi dan Narasumber,Positif,,,,,,,
"penyampaian materi yang disampaikan sudah sangat dimengerti		",penyampaian materi yang disampaikan sudah sangat dimengerti,penyampaian materi yang disampaikan sudah sangat dimengerti,"['penyampaian', 'materi', 'yang', 'disampaikan', 'sudah', 'sangat', 'dimengerti']","['penyampaian', 'materi', 'yang', 'disampaikan', 'sudah', 'sangat', 'mengerti']","['penyampaian', 'materi', 'disampaikan', 'mengerti']",penyampaian materi disampaikan mengerti,2,Materi dan Narasumber,Positif,,,,,,,
"Penyampaian yg lebih menarik lagi		",Penyampaian yg lebih menarik lagi,penyampaian yg lebih menarik lagi,"['penyampaian', 'yg', 'lebih', 'menarik', 'lagi']","['penyampaian', 'yang', 'lebih', 'seru', 'lagi']","['penyampaian', 'seru']",penyampaian seru,2,Materi dan Narasumber,Positif,,,,,,,
"Perbaiki Koneksi		",Perbaiki Koneksi,perbaiki koneksi,"['perbaiki', 'koneksi']","['perbaiki', 'koneksi']","['perbaiki', 'koneksi']",perbaiki koneksi,1,Kesuksesan Acara,Negatif,,,,,,,
"Perbanyak interaksi dengan peserta		",Perbanyak interaksi dengan peserta,perbanyak interaksi dengan peserta,"['perbanyak', 'interaksi', 'dengan', 'peserta']","['banyak', 'interaksi', 'dengan', 'peserta']","['banyak', 'interaksi', 'peserta']",banyak interaksi peserta,4,Antusiasme Peserta,Positif,,,,,,,
"Rangkaian acaranya seru dan temanya sangat menarik dan narasumbernya keren abisss		",Rangkaian acaranya seru dan temanya sangat menarik dan narasumbernya keren abis,rangkaian acaranya seru dan temanya sangat menarik dan narasumbernya keren abis,"['rangkaian', 'acaranya', 'seru', 'dan', 'temanya', 'sangat', 'menarik', 'dan', 'narasumbernya', 'keren', 'abis']","['rangkaian', 'acara', 'seru', 'dan', 'tema', 'sangat', 'menarik', 'dan', 'narasumber', 'keren', 'habis']","['rangkaian', 'acara', 'seru', 'tema', 'menairk', 'narasumber', 'keren', 'habis']",rangkaian acara seru tema menairk narasumber keren habis,1,Kesuksesan Acara,Positif,,,,,,,
"Sangat baik acaranya bermanfaat		",Sangat baik acaranya bermanfaat,sangat baik acaranya bermanfaat,"['sangat', 'baik', 'acaranya', 'bermanfaat']","['sangat', 'baik', 'acara', 'bermanfaat']","['baik', 'acara', 'bermanfaat']",baik acara bermanfaat,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Sangat baik dan mudah dipahami		",Sangat baik dan mudah dipahami,sangat baik dan mudah dipahami,"['sangat', 'baik', 'dan', 'mudah', 'dipahami']","['sangat', 'baik', 'dan', 'mudah', 'paham']","['baik', 'mudah', 'paham']",baik mudah paham,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Sangat baik sekali dan mengandung byk manfaat materinya		",Sangat baik sekali dan mengandung byk manfaat materinya,sangat baik sekali dan mengandung byk manfaat materinya,"['sangat', 'baik', 'sekali', 'dan', 'mengandung', 'byk', 'manfaat', 'materinya']","['sangat', 'baik', 'sekali', 'dan', 'mengandung', 'banyak', 'manfaat', 'materi']","['baik', 'sekali', 'mengandung', 'banyak', 'manfaat', 'materi']",baik sekali mengandung banyak manfaat materi,7,Manfaat dan Evaluasi,Positif,,,,,,,
"sangat baik, semoga ke depannya bisa menjadi lebih baik lagi		",sangat baik semoga ke depannya bisa menjadi lebih baik lagi,sangat baik semoga ke depannya bisa menjadi lebih baik lagi,"['sangat', 'baik', 'semoga', 'ke', 'depannya', 'bisa', 'menjadi', 'lebih', 'baik', 'lagi']","['sangat', 'baik', 'semoga', 'ke', 'depan', 'bisa', 'menjadi', 'lebih', 'baik', 'lagi']","['baik', 'semoga', 'depan', 'menjadi', 'baik']",baik semoga depan menjadi baik,3,Harapan Acara,Positif,,,,,,,
"sangat berjalan dengan baik,semoga kedepannya lebih baik lagi		",sangat berjalan dengan baik semoga kedepannya lebih baik lagi,sangat berjalan dengan baik semoga kedepannya lebih baik lagi,"['sangat', 'berjalan', 'dengan', 'baik', 'semoga', 'kedepannya', 'lebih', 'baik', 'lagi']","['sangat', 'terlaksana', 'dengan', 'baik', 'semoga', 'ke depannya', 'lebih', 'baik', 'lagi']","['terlaksana', 'baik', 'semoga', 'ke depannya', 'baik']",terlaksana baik semoga ke depannya baik,1,Kesuksesan Acara,Positif,,,,,,,
"sangat berkesan dan menambah wawasan bagi saya sebagai generasi Z		",sangat berkesan dan menambah wawasan bagi saya sebagai generasi Z,sangat berkesan dan menambah wawasan bagi saya sebagai generasi z,"['sangat', 'berkesan', 'dan', 'menambah', 'wawasan', 'bagi', 'saya', 'sebagai', 'generasi', 'z']","['sangat', 'berkesan', 'dan', 'tambah', 'pengalaman', 'bagi', 'saya', 'sebagai', 'generasi', 'z']","['berkesan', 'tambah', 'pengalaman', 'generasi', 'z']",berkesan tambah pengalaman generasi z,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Sangat bermanfaat bagi generasi mudaa, buat acaranya bagus, be better lah		",Sangat bermanfaat bagi generasi mudaa buat acaranya bagus be better lah,sangat bermanfaat bagi generasi mudaa buat acaranya bagus be better lah,"['sangat', 'bermanfaat', 'bagi', 'generasi', 'mudaa', 'buat', 'acaranya', 'bagus', 'be', 'better', 'lah']","['sangat', 'bermanfaat', 'bagi', 'generasi', 'mudah', 'buat', 'acara', 'keren', 'menjadi', 'lebih baik', 'lah']","['bermanfaat', 'generasi', 'mudah', 'buat', 'acara', 'keren', 'menjadi', 'lebih baik']",bermanfaat generasi mudah buat acara keren menjadi lebih baik,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Sangat bermanfaat dan harus selalu diadakan setiap tahun nya		",Sangat bermanfaat dan harus selalu diadakan setiap tahun nya,sangat bermanfaat dan harus selalu diadakan setiap tahun nya,"['sangat', 'bermanfaat', 'dan', 'harus', 'selalu', 'diadakan', 'setiap', 'tahun', 'nya']","['sangat', 'bermanfaat', 'dan', 'harus', 'selalu', 'mengadakan', 'setiap', 'waktu', 'nya']","['bermanfaat', 'selalu', 'mengadakan', 'waktu']",bermanfaat selalu mengadakan waktu,7,Manfaat dan Evaluasi,Positif,,,,,,,
"sangat bermanfaat dan termotivasi dari nara sumber		",sangat bermanfaat dan termotivasi dari nara sumber,sangat bermanfaat dan termotivasi dari nara sumber,"['sangat', 'bermanfaat', 'dan', 'termotivasi', 'dari', 'nara', 'sumber']","['sangat', 'bermanfaat', 'dan', 'inspiratif', 'dari', 'narasumber', 'sumber']","['bermanfaat', 'inspiratif', 'narasumber', 'sumber']",bermanfaat inspiratif narasumber sumber,2,Materi dan Narasumber,Positif,,,,,,,
"sangat membantu dan menambah informasi		",sangat membantu dan menambah informasi,sangat membantu dan menambah informasi,"['sangat', 'membantu', 'dan', 'menambah', 'informasi']","['sangat', 'membantu', 'dan', 'tambah', 'penyampaian']","['membantu', 'tambah', 'penyampaian']",membantu tambah penyampaian,2,Materi dan Narasumber,Positif,,,,,,,
"Sangat membantu dan menambah wawasan saya		",Sangat membantu dan menambah wawasan saya,sangat membantu dan menambah wawasan saya,"['sangat', 'membantu', 'dan', 'menambah', 'wawasan', 'saya']","['sangat', 'membantu', 'dan', 'tambah', 'pengalaman', 'saya']","['membantu', 'tambah', 'pengalaman']",membantu tambah pengalaman,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Sangat menambah wawasan kita		",Sangat menambah wawasan kita,sangat menambah wawasan kita,"['sangat', 'menambah', 'wawasan', 'kita']","['sangat', 'tambah', 'pengalaman', 'kita']","['tambah', 'pengalaman']",tambah pengalaman,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Sangat memotivasi dan memberi jalan bagi yang ingin belajar.		",Sangat memotivasi dan memberi jalan bagi yang ingin belajar,sangat memotivasi dan memberi jalan bagi yang ingin belajar,"['sangat', 'memotivasi', 'dan', 'memberi', 'jalan', 'bagi', 'yang', 'ingin', 'belajar']","['sangat', 'inspiratif', 'dan', 'memberi', 'jalan', 'bagi', 'yang', 'ingin', 'belajar']","['inspiratif', 'memberi', 'jalan', 'belajar']",inspiratif memberi jalan belajar,2,Materi dan Narasumber,Positif,,,,,,,
"Sangat menarik sekali kegiatanya,		",Sangat menarik sekali kegiatanya,sangat menarik sekali kegiatanya,"['sangat', 'menarik', 'sekali', 'kegiatanya']","['sangat', 'seru', 'sekali', 'acara']","['seru', 'sekali', 'acara']",seru sekali acara,1,Kesuksesan Acara,Positif,,,,,,,
"sangat seru dan menambah wawasan juga kaka kaka yang hebat		",sangat seru dan menambah wawasan juga kaka kaka yang hebat,sangat seru dan menambah wawasan juga kaka kaka yang hebat,"['sangat', 'seru', 'dan', 'menambah', 'wawasan', 'juga', 'kaka', 'kaka', 'yang', 'hebat']","['sangat', 'seru', 'dan', 'tambah', 'pengalaman', 'juga', 'kakak', 'kakak', 'yang', 'keren']","['seru', 'tambah', 'pengalaman', 'kakak', 'kakak', 'keren']",seru tambah pengalaman kakak kakak keren,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Saran : Acara ini dapat mempererat tali persaudaraan antar mahasiswa UPN fakultas ilmu komputer, dan semoga selalu ada si setiap tahunnya		",Saran Acara ini dapat mempererat tali persaudaraan antar mahasiswa UPN fakultas ilmu komputer dan semoga selalu ada si setiap tahunnya,saran acara ini dapat mempererat tali persaudaraan antar mahasiswa upn fakultas ilmu komputer dan semoga selalu ada si setiap tahunnya,"['saran', 'acara', 'ini', 'dapat', 'mempererat', 'tali', 'persaudaraan', 'antar', 'mahasiswa', 'upn', 'fakultas', 'ilmu', 'komputer', 'dan', 'semoga', 'selalu', 'ada', 'si', 'setiap', 'tahunnya']","['usulan', 'acara', 'ini', 'dapat', 'erat', 'tali', 'persaudaraan', 'antara', 'mahasiswa', 'upn', 'fakultas', 'pengalaman', 'komputer', 'dan', 'semoga', 'selalu', 'ada', 'sih', 'setiap', 'waktu']","['usulan', 'acara', 'erat', 'tali', 'persaudaraan', 'mahasiswa', 'upn', 'fakultas', 'pengalaman', 'komputer', 'semoga', 'selalu', 'waktu']",usulan acara erat tali persaudaraan mahasiswa upn fakultas pengalaman komputer semoga selalu waktu,3,Harapan Acara,Positif,,,,,,,
"kedepannya bisa memanagement waktu lebih baik, supaya tidak telat menunggu narasumber		",kedepannya bisa memanagement waktu lebih baik supaya tidak telat menunggu narasumber,kedepannya bisa memanagement waktu lebih baik supaya tidak telat menunggu narasumber,"['kedepannya', 'bisa', 'memanagement', 'waktu', 'lebih', 'baik', 'supaya', 'tidak', 'telat', 'menunggu', 'narasumber']","['ke depannya', 'bisa', 'manajemen', 'waktu', 'lebih', 'baik', 'supaya', 'tidak', 'terlambat', 'tunggu', 'narasumber']","['ke depannya', 'manajemen', 'waktu', 'baik', 'terlambat', 'tunggu', 'narasumber']",ke depannya manajemen waktu baik terlambat tunggu narasumber,6,Waktu dan Pelaksanaan Acara,Negatif,,,,,,,
"Saran saya acara kedepannya lebih menarik lagi		",Saran saya acara kedepannya lebih menarik lagi,saran saya acara kedepannya lebih menarik lagi,"['saran', 'saya', 'acara', 'kedepannya', 'lebih', 'menarik', 'lagi']","['usulan', 'saya', 'acara', 'ke depannya', 'lebih', 'seru', 'lagi']","['usulan', 'acara', 'ke depannya', 'seru']",usulan acara ke depannya seru,7,Manfaat dan Evaluasi,Negatif,,,,,,,
"cari tempat yang baik koneksinya, supaya tidak ada terkendala pada saat acara zoom kedepannya, terima kasih		",cari tempat yang baik koneksinya supaya tidak ada terkendala pada saat acara zoom kedepannya terima kasih,cari tempat yang baik koneksinya supaya tidak ada terkendala pada saat acara zoom kedepannya terima kasih,"['cari', 'tempat', 'yang', 'baik', 'koneksinya', 'supaya', 'tidak', 'ada', 'terkendala', 'pada', 'saat', 'acara', 'zoom', 'kedepannya', 'terima', 'kasih']","['mencari', 'tempat', 'yang', 'baik', 'koneksi', 'supaya', 'tidak', 'ada', 'kendala', 'pada', 'saat', 'acara', 'zoom', 'ke depannya', 'terima', 'kasih']","['mencari', 'tempat', 'baik', 'koneksi', 'kendala', 'acara', 'zoom', 'ke depannya', 'terima', 'kasih']",mencari tempat baik koneksi kendala acara zoom ke depannya terima kasih,5,Teknis dan Jaringan,Positif,,,,,,,
"Saran saya agar kegiatan ini lebih sering dilakukan dan lebih dipromosikan lagi agar banyak orang dari luar upn yang mengikuti kegiatan ini		",Saran saya agar kegiatan ini lebih sering dilakukan dan lebih dipromosikan lagi agar banyak orang dari luar upn yang mengikuti kegiatan ini,saran saya agar kegiatan ini lebih sering dilakukan dan lebih dipromosikan lagi agar banyak orang dari luar upn yang mengikuti kegiatan ini,"['saran', 'saya', 'agar', 'kegiatan', 'ini', 'lebih', 'sering', 'dilakukan', 'dan', 'lebih', 'dipromosikan', 'lagi', 'agar', 'banyak', 'orang', 'dari', 'luar', 'upn', 'yang', 'mengikuti', 'kegiatan', 'ini']","['usulan', 'saya', 'agar', 'acara', 'ini', 'lebih', 'sering', 'dilakukan', 'dan', 'lebih', 'promosi', 'lagi', 'agar', 'banyak', 'narasumber', 'dari', 'luar', 'upn', 'yang', 'ikut', 'acara', 'ini']","['usulan', 'acara', 'sering', 'dilakukan', 'promosi', 'banyak', 'narasumber', 'luar', 'upn', 'ikut', 'acara']",usulan acara sering dilakukan promosi banyak narasumber luar upn ikut acara,6,Waktu dan Pelaksanaan Acara,Negatif,,,,,,,
"Saran saya agar menambah pemateri yang banyak		",Saran saya agar menambah pemateri yang banyak,saran saya agar menambah pemateri yang banyak,"['saran', 'saya', 'agar', 'menambah', 'pemateri', 'yang', 'banyak']","['usulan', 'saya', 'agar', 'tambah', 'narasumber', 'yang', 'banyak']","['usulan', 'tambah', 'narasumber', 'banyak']",usulan tambah narasumber banyak,2,Materi dan Narasumber,Negatif,,,,,,,
